City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Coundry,Date
ancud,-41.8697,-73.8203,53.13,82,88,6.93,CL,1638145522
kayattar,8.95,77.8,73.98,93,100,7.38,IN,1638145522
vila franca do campo,37.7167,-25.4333,59.41,64,93,3.78,PT,1638145583
luba,3.4568,8.5547,78.69,83,100,5.64,GQ,1638145583
haimen,23.1935,116.6142,67.89,70,14,9.13,CN,1638145584
andra,62.5147,65.8878,23.16,96,100,8.95,RU,1638145584
carnarvon,-24.8667,113.6333,84.27,45,1,16.11,AU,1638145585
lichinga,-13.3128,35.2406,61.84,65,45,5.1,MZ,1638145585
puerto escondido,15.85,-97.0667,85.03,65,1,0.0,MX,1638145187
katangli,51.7102,143.2326,22.95,87,100,7.16,RU,1638145586
tra vinh,9.9347,106.3453,75.25,94,100,8.25,VN,1638145586
ahipara,-35.1667,173.1667,71.06,59,97,5.19,NZ,1638145587
yulara,-25.2406,130.9889,82.24,18,0,14.97,AU,1638145587
acari,-15.4311,-74.6158,69.67,75,66,4.38,PE,1638145587
kandrian,-6.2167,149.55,85.23,70,100,4.16,PG,1638145588
nakambala,-15.8324,27.7799,67.33,49,4,3.94,ZM,1638145588
eshowe,-28.8865,31.4699,65.66,67,36,2.59,ZA,1638145588
saposoa,-6.934,-76.7716,84.81,92,99,2.73,PE,1638145589
nara,34.6851,135.8049,47.48,47,32,1.97,JP,1638145589
rebrikha,53.0733,82.3408,10.53,90,50,5.53,RU,1638145590
honningsvag,70.9821,25.9704,18.03,92,75,25.19,NO,1638145591
seymchan,62.8833,152.4333,-19.1,96,100,1.21,RU,1638145591
gilgit,35.9221,74.3087,42.87,53,89,3.31,PK,1638145591
madera,37.1666,-119.8343,68.09,35,0,2.62,US,1638145322
lagoa,39.05,-27.9833,60.21,56,40,2.77,PT,1638145592
ryde,50.73,-1.1621,32.95,84,88,13.35,GB,1638145592
wasilla,61.5814,-149.4394,0.55,82,90,0.0,US,1638145372
jatai,-17.8814,-51.7144,74.77,80,98,5.55,BR,1638145593
semporna,4.4818,118.6112,79.0,87,100,7.76,MY,1638145593
karratha,-20.7377,116.8463,87.01,45,10,3.04,AU,1638145594
srednekolymsk,67.45,153.6833,-32.1,97,99,7.72,RU,1638145594
kautokeino,69.0125,23.0412,-4.5,97,100,6.64,NO,1638145595
siloam springs,36.1881,-94.5405,49.05,66,1,3.44,US,1638145595
raymond terrace,-32.75,151.75,68.05,68,75,10.36,AU,1638145596
guerrero negro,27.9769,-114.0611,73.27,43,0,9.98,MX,1638145596
matamoros,25.5333,-103.25,68.11,34,75,6.91,MX,1638145597
havre-saint-pierre,50.2334,-63.5986,33.8,80,75,16.11,CA,1638145597
fayaoue,-20.65,166.5333,79.74,80,45,8.72,NC,1638145598
forestville,38.8451,-76.875,47.73,62,20,8.05,US,1638145599
loviisa,60.4566,26.2251,18.63,82,100,11.68,FI,1638145599
hasaki,35.7333,140.8333,45.0,45,16,4.07,JP,1638145599
margate,51.3813,1.3862,31.86,82,17,22.59,GB,1638145600
bongandanga,1.5,21.05,71.24,86,100,1.14,CD,1638145600
paamiut,61.994,-49.6678,37.56,87,100,23.53,GL,1638145601
malanje,-9.5402,16.341,62.2,96,60,0.92,AO,1638145601
zambezi,-13.5432,23.1047,64.27,96,81,2.01,ZM,1638145602
clinton,42.587,-82.9199,35.62,100,90,12.66,US,1638145391
buin,-33.7333,-70.75,77.32,24,13,2.68,CL,1638145662
arco,45.9177,10.8867,37.15,85,99,5.77,IT,1638145663
naryan-mar,67.6713,53.087,1.31,97,98,8.61,RU,1638145663
brae,60.3964,-1.353,28.31,54,96,3.62,GB,1638145664
sola,-13.8833,167.55,83.07,84,90,0.0,VU,1638145664
auki,-8.7676,160.7034,87.3,61,84,0.67,SB,1638145169
joetsu,37.1483,138.2364,46.98,53,81,5.99,JP,1638145665
antofagasta,-23.65,-70.4,63.68,81,47,3.98,CL,1638145563
avarua,-21.2078,-159.775,78.85,65,90,8.05,CK,1638145179
ishigaki,24.3448,124.1572,71.73,83,75,17.27,JP,1638145665
lazaro cardenas,17.9583,-102.2,79.52,69,6,6.24,MX,1638145337
kaduy,59.2,37.15,14.79,97,98,2.82,RU,1638145666
udupi,13.35,74.75,79.84,81,98,3.53,IN,1638145667
chihuahua,28.5,-106.0,55.96,49,100,3.33,MX,1638145429
tapejara,-28.0681,-52.0139,66.47,88,100,3.36,BR,1638145667
tougue,11.4667,-11.6,70.97,36,20,3.0,GN,1638145668
mitsamiouli,-11.3847,43.2844,79.52,79,12,8.25,KM,1638145669
uzhhorod,48.6167,22.3,46.2,96,100,6.06,UA,1638145669
zalantun,48.0,122.7167,11.91,87,7,4.5,CN,1638145669
yinchuan,38.4681,106.2731,30.65,38,100,11.03,CN,1638145435
barguzin,53.6167,109.6167,10.26,97,100,1.95,RU,1638145452
coos bay,43.3665,-124.2179,57.18,88,90,5.75,US,1638145670
pirassununga,-21.9961,-47.4258,74.86,64,0,3.44,BR,1638145671
la ronge,55.1001,-105.2842,25.05,68,90,11.5,CA,1638145273
san juan,-31.5375,-68.5364,74.89,23,0,8.16,AR,1638145602
otjiwarongo,-20.4637,16.6477,71.51,16,95,2.66,NA,1638145672
muzhi,65.3667,64.6667,8.15,96,100,8.1,RU,1638145672
monrovia,6.3005,-10.7969,79.74,80,4,6.64,LR,1638145672
jinxiang,27.4327,120.6062,62.15,87,92,8.84,CN,1638145673
maku,39.2911,44.4521,45.0,79,39,3.24,IR,1638145673
prince rupert,54.3161,-130.3201,42.49,65,90,6.91,CA,1638145673
gorlice,49.6556,21.1604,38.3,97,100,8.57,PL,1638145674
raudeberg,61.9875,5.1352,27.27,55,82,5.82,NO,1638145333
sabang,5.8933,95.3214,79.38,79,100,3.87,ID,1638145301
lorengau,-2.0226,147.2712,84.94,69,78,2.82,PG,1638145153
nantucket,41.2835,-70.0995,42.91,81,90,5.75,US,1638145676
santa maria,-29.6842,-53.8069,72.7,83,75,5.75,BR,1638145676
tpig,41.7801,47.589,39.4,79,75,6.89,RU,1638145677
buritis,-15.6178,-46.4233,72.72,87,57,0.54,BR,1638145677
kununurra,-15.7667,128.7333,91.38,52,70,3.44,AU,1638145228
huarmey,-10.0681,-78.1522,67.46,83,96,8.37,PE,1638145173
tarbagatay,51.4803,107.3602,6.33,96,89,3.78,RU,1638145678
kingaroy,-26.5333,151.8333,69.84,83,90,11.5,AU,1638145678
lakes entrance,-37.8811,147.981,63.59,62,3,7.65,AU,1638145678
pingliang,35.5392,106.6861,29.61,55,100,19.8,CN,1638145739
nueva loja,0.0847,-76.8828,75.36,86,87,1.01,EC,1638145740
shenjiamen,29.9576,122.298,60.91,89,100,6.29,CN,1638145740
villarrica,-25.75,-56.4333,69.76,91,100,4.09,PY,1638145741
simao,22.7886,100.9748,54.01,97,70,0.87,CN,1638145741
kuching,1.55,110.3333,75.42,94,20,3.44,MY,1638145475
kieta,-6.2167,155.6333,85.28,66,98,3.6,PG,1638145742
terney,45.0503,136.6092,37.71,66,80,8.37,RU,1638145742
jerusalem,31.769,35.2163,52.0,32,74,2.55,IL,1638145663
pacific grove,36.6177,-121.9166,70.0,48,1,0.0,US,1638145683
karatau,43.1667,70.4667,29.8,48,2,4.43,KZ,1638145743
clyde river,70.4692,-68.5914,-3.77,77,94,19.57,CA,1638145743
sinnar,13.5691,33.5672,81.91,36,1,10.2,SD,1638145744
muravlenko,63.7898,74.523,1.94,96,100,11.25,RU,1638145744
gat,31.61,34.7642,59.68,36,49,1.86,IL,1638145745
hambantota,6.1241,81.1185,75.54,100,75,3.44,LK,1638145745
voznesenye,61.0106,35.4781,17.69,79,82,6.76,RU,1638145745
gamba,-2.65,10.0,77.14,89,72,6.53,GA,1638145746
marsa matruh,31.3525,27.2453,72.28,39,100,13.91,EG,1638145746
farmington,36.7281,-108.2187,52.99,31,1,6.91,US,1638145601
chiang mai,18.75,99.0,66.27,100,20,1.14,TH,1638145747
tiznit,29.5833,-9.5,55.47,39,0,3.51,MA,1638145747
lasa,46.6166,10.7002,31.08,94,100,6.49,IT,1638145748
tirau,-37.9833,175.75,71.89,53,28,6.06,NZ,1638145749
sibu,2.3,111.8167,77.31,88,40,5.75,MY,1638145749
thinadhoo,0.5333,72.9333,81.99,71,90,20.31,MV,1638145750
qasigiannguit,68.8193,-51.1922,23.25,85,100,2.68,GL,1638145750
san quintin,30.4833,-115.95,69.21,45,0,11.39,MX,1638145751
muncar,-8.4333,114.3333,73.11,92,100,1.97,ID,1638145751
mrakovo,52.7161,56.6244,14.45,89,100,3.36,RU,1638145751
port elgin,46.0487,-64.0868,29.19,72,9,12.24,CA,1638145752
birao,10.2849,22.7882,72.1,24,51,5.61,CF,1638145753
port macquarie,-31.4333,152.9167,71.56,71,89,5.08,AU,1638145753
manta,-0.95,-80.7333,74.98,83,40,16.11,EC,1638145754
derzhavinsk,51.1,66.3167,6.76,79,100,6.2,KZ,1638145754
kolda,12.8833,-14.95,73.71,94,48,0.0,SN,1638145755
along,28.1667,94.7667,50.16,64,0,1.72,IN,1638145755
ngunguru,-35.6167,174.5,66.96,71,100,10.98,NZ,1638145756
taksimo,56.3444,114.8794,-6.48,94,100,0.51,RU,1638145756
whyalla,-33.0333,137.5833,73.29,56,0,5.75,AU,1638145756
aklavik,68.2191,-135.0107,-13.97,85,100,18.81,CA,1638145757
kolindros,40.4758,22.4808,57.47,90,86,3.22,GR,1638145757
burley,42.5357,-113.7928,53.56,47,1,0.0,US,1638145523
anda,46.4,125.3167,16.74,91,19,6.76,CN,1638145818
hofn,64.2539,-15.2082,34.14,91,100,10.2,IS,1638145760
jiwani,25.05,61.7417,74.23,67,0,8.41,PK,1638145818
noyabrsk,63.1994,75.4507,6.48,96,100,12.86,RU,1638145819
cairns,-16.9167,145.7667,84.15,74,40,9.22,AU,1638145820
merauke,-8.4667,140.3333,86.77,63,100,2.8,ID,1638145820
sao filipe,14.8961,-24.4956,75.61,70,98,13.29,CV,1638145820
svetlogorsk,52.6333,29.7333,40.6,97,100,7.94,BY,1638145821
douglas,41.3,-96.167,42.67,58,1,3.44,US,1638145822
broken hill,-31.95,141.4333,75.22,40,14,8.39,AU,1638145324
kabanjahe,3.1001,98.4908,64.45,94,100,3.87,ID,1638145822
manokwari,-0.8667,134.0833,83.97,72,87,4.9,ID,1638145823
nishihara,26.1842,127.7558,68.05,89,90,9.22,JP,1638145823
dubovskoye,47.4092,42.7575,42.6,79,100,12.15,RU,1638145823
sawtell,-30.3833,153.1,73.72,68,90,10.36,AU,1638145824
kachug,53.9606,105.8817,9.68,95,100,2.8,RU,1638145824
nakamura,32.9833,132.9333,56.73,60,100,3.13,JP,1638145825
nizhnevartovsk,60.9344,76.5531,24.82,100,90,6.71,RU,1638145825
shebunino,46.4339,141.8603,44.98,72,61,16.8,RU,1638145826
panguipulli,-39.6333,-72.3333,55.11,64,2,1.99,CL,1638145826
gloucester,51.8657,-2.2431,35.73,88,70,6.08,GB,1638145827
batticaloa,7.7102,81.6924,79.3,84,100,8.66,LK,1638145827
hobyo,5.3505,48.5268,80.65,77,22,17.16,SO,1638145827
promyshlennaya,54.9159,85.6385,18.55,95,100,7.25,RU,1638145828
russkaya polyana,49.417,31.9201,47.66,96,99,8.59,UA,1638145828
trelew,-43.249,-65.3051,72.18,23,87,16.35,AR,1638145829
bilma,18.6853,12.9164,72.61,18,4,6.89,NE,1638145829
susanville,40.4163,-120.653,50.13,56,88,1.7,US,1638145830
rena,61.1348,11.3641,20.52,87,85,0.34,NO,1638145830
kilindoni,-7.9139,39.6668,80.51,78,99,11.14,TZ,1638145831
vardo,70.3705,31.1107,12.4,78,100,21.43,NO,1638145831
zdanice,49.0673,17.0275,33.89,92,95,5.68,CZ,1638145832
berlevag,70.8578,29.0864,16.45,87,60,20.47,NO,1638145832
egvekinot,66.3167,-179.1667,-4.52,94,100,1.66,RU,1638145304
tipuani,-15.5648,-68.0185,71.96,97,100,1.32,BO,1638145833
szamosszeg,48.0456,22.3658,48.34,96,100,8.59,HU,1638145833
kloulklubed,7.0419,134.2556,84.7,71,100,9.53,PW,1638145834
abu kamal,34.4506,40.9171,61.75,43,0,5.55,SY,1638145834
invermere,50.5167,-116.0354,41.76,99,100,3.53,CA,1638145834
sinnai,39.3042,9.2036,42.94,93,40,1.14,IT,1638145835
sohag,26.557,31.6948,69.64,18,0,3.13,EG,1638145835
bubaque,11.2833,-15.8333,82.69,67,100,15.21,GW,1638145835
cullinan,-25.6709,28.5236,59.72,67,0,4.03,ZA,1638145836
catuday,16.2923,119.8062,80.96,70,49,10.58,PH,1638145836
sechura,-5.5569,-80.8222,68.67,75,75,15.23,PE,1638145837
cockburn town,21.4612,-71.1419,78.76,73,40,5.75,TC,1638145260
baker city,44.7749,-117.8344,44.31,70,1,4.61,US,1638145775
tambura,5.6,27.4667,73.4,68,40,4.16,SS,1638145819
hailey,43.5196,-114.3153,46.26,66,1,0.0,US,1638145897
nicoya,10.1483,-85.452,78.35,83,72,7.25,CR,1638145898
moranbah,-22.0016,148.0466,84.29,58,99,10.8,AU,1638145898
cubuk,40.2386,33.0322,40.75,93,40,1.14,TR,1638145899
nieuw nickerie,5.95,-56.9833,79.48,81,17,11.43,SR,1638145764
pauini,-7.7136,-66.9764,72.79,94,100,2.08,BR,1638145900
harper,4.375,-7.7169,78.94,83,7,6.98,LR,1638145900
galle,6.0367,80.217,77.02,89,100,6.71,LK,1638145901
pavlovka,52.6897,47.1405,33.69,100,100,4.5,RU,1638145902
oktyabrskiy,54.4815,53.471,29.77,94,100,9.31,RU,1638145902
pedernales,18.0384,-71.744,78.98,75,39,4.18,DO,1638145903
carutapera,-1.195,-46.02,79.59,80,15,6.91,BR,1638145903
mongo,12.1844,18.693,76.41,16,7,5.17,TD,1638145903
kushmurun,52.4503,64.6311,8.4,89,100,4.32,KZ,1638145904
yumen,40.2833,97.2,21.29,37,0,12.37,CN,1638145904
valparaiso,-33.0393,-71.6273,67.64,48,0,17.27,CL,1638145656
beringovskiy,63.05,179.3167,5.43,93,100,5.57,RU,1638145905
oranjestad,12.524,-70.027,82.35,78,20,13.8,AW,1638145811
altay,47.8667,88.1167,16.3,63,0,6.87,CN,1638145906
jasper,37.2001,-94.3502,46.45,57,40,0.0,US,1638145906
strezhevoy,60.7333,77.5889,24.78,95,100,9.55,RU,1638145907
kavaratti,10.5669,72.642,80.82,80,100,18.03,IN,1638145834
suntar,62.1444,117.6319,-9.42,100,96,1.92,RU,1638145907
salalah,17.0151,54.0924,73.49,78,0,5.75,OM,1638145887
hervey bay,-25.2986,152.8535,77.11,88,100,11.9,AU,1638145908
kuryk,43.2,51.65,43.09,47,9,11.05,KZ,1638145908
pangkalanbuun,-2.6833,111.6167,78.26,86,100,1.52,ID,1638145909
berdigestyakh,62.0989,126.6992,-16.64,100,90,2.77,RU,1638145909
ranong,9.9658,98.6348,73.33,88,100,3.8,TH,1638145910
poso,-1.3959,120.7524,81.03,83,89,0.31,ID,1638145910
bud,39.447,-86.1758,35.69,55,1,6.98,US,1638145911
fortuna,40.5982,-124.1573,54.52,94,90,0.0,US,1638145873
najran,17.4924,44.1277,56.05,40,0,2.77,SA,1638145911
tabory,58.5198,64.5495,24.3,72,99,10.16,RU,1638145911
talcahuano,-36.7167,-73.1167,56.88,62,0,18.41,CL,1638145912
lerwick,60.1545,-1.1494,28.4,53,100,3.65,GB,1638145912
pangoa,-12.1167,-73.0,68.16,98,100,2.57,PE,1638145912
presidencia roque saenz pena,-26.7852,-60.4388,66.24,74,0,6.33,AR,1638145913
tuatapere,-46.1333,167.6833,65.7,41,16,6.8,NZ,1638145693
san luis,-33.295,-66.3356,62.51,41,0,4.41,AR,1638145913
mahebourg,-20.4081,57.7,71.89,88,40,4.61,MU,1638145914
comarapa,-17.9,-64.4833,59.4,94,100,2.51,BO,1638145914
rawson,-43.3002,-65.1023,69.87,30,76,10.69,AR,1638145914
praia da vitoria,38.7333,-27.0667,50.25,100,0,1.83,PT,1638145915
dubbo,-32.25,148.6167,62.73,77,90,12.66,AU,1638145826
meadow lake,34.8014,-106.5436,58.44,32,0,2.75,US,1638145975
bandarbeyla,9.4942,50.8122,76.86,77,29,17.27,SO,1638145976
otradnyy,53.376,51.3452,32.63,97,100,8.03,RU,1638145928
rognan,67.0953,15.3878,24.94,67,100,7.74,NO,1638145976
erenhot,43.6475,111.9767,23.54,51,100,10.74,CN,1638145977
klyuchevskiy,53.5317,119.4519,1.56,88,100,1.83,RU,1638145977
pangnirtung,66.1451,-65.7125,12.78,72,100,9.93,CA,1638145978
akdepe,42.0551,59.3788,28.49,50,100,6.85,TM,1638145978
limbang,4.75,115.0,79.11,92,100,1.05,MY,1638145979
independence,39.0911,-94.4155,45.39,46,1,5.75,US,1638145823
jinan,36.6683,116.9972,50.02,69,69,2.15,CN,1638145979
nipawin,53.3668,-104.0009,24.84,80,90,0.0,CA,1638145700
kendari,-3.945,122.4989,78.33,84,100,2.28,ID,1638145755
dwarka,22.2394,68.9678,76.5,57,99,8.28,IN,1638145980
noumea,-22.2763,166.4572,85.98,69,51,15.68,NC,1638145811
kudahuvadhoo,2.6708,72.8944,82.27,74,100,17.74,MV,1638145981
shizunai,42.3339,142.3669,47.79,72,100,10.31,JP,1638145981
santa cruz de la palma,28.6835,-17.7642,66.34,72,90,14.97,ES,1638145982
shenzhen,22.5455,114.0683,69.75,51,5,5.84,CN,1638145982
souillac,-20.5167,57.5167,71.98,88,40,4.61,MU,1638145982
poya,-21.35,165.15,84.97,63,63,8.48,NC,1638145983
abu dhabi,24.4667,54.3667,75.22,60,40,6.91,AE,1638145801
carupano,10.6678,-63.2585,77.47,88,99,5.91,VE,1638145984
arlit,18.7369,7.3853,75.36,16,100,7.4,NE,1638145984
naze,28.3667,129.4833,67.12,67,100,15.84,JP,1638145984
vanavara,60.34,102.2797,14.5,95,100,5.26,RU,1638145985
guarda,40.5373,-7.2658,40.87,93,100,7.99,PT,1638145896
chicama,-7.8447,-79.1469,61.34,80,100,7.25,PE,1638145985
aksu,41.1231,80.2644,23.13,66,9,2.62,CN,1638145986
camabatela,-8.1881,15.375,60.66,97,87,2.37,AO,1638145986
dobryatino,55.5055,41.3195,31.01,99,100,3.65,RU,1638145987
jumla,29.2747,82.1838,38.88,45,6,5.1,NP,1638145987
kampene,-3.6,26.6667,67.93,99,100,0.69,CD,1638145988
mabaruma,8.2,-59.7833,73.74,91,100,2.8,GY,1638145988
sancti spiritus,21.9297,-79.4425,67.14,87,2,5.88,CU,1638145977
khandbari,27.3747,87.2039,53.35,62,0,3.65,NP,1638145989
puerto del rosario,28.5004,-13.8627,64.15,59,19,26.46,ES,1638145989
betare oya,5.6,14.0833,68.18,45,88,2.82,CM,1638145989
kostino,58.9097,53.2691,33.03,97,100,11.3,RU,1638145990
port-gentil,-0.7193,8.7815,80.13,76,96,8.05,GA,1638145990
broome,42.2506,-75.833,32.77,100,90,6.91,US,1638145836
xining,36.6167,101.7667,16.93,79,80,1.16,CN,1638145719
tamworth,52.634,-1.6959,30.52,91,54,6.87,GB,1638145991
portland,45.5234,-122.6762,62.58,65,75,8.05,US,1638145983
conceicao do araguaia,-8.2578,-49.2647,75.79,90,31,2.51,BR,1638145992
ughelli,5.4899,6.0074,76.28,93,100,1.77,NG,1638145993
khani,41.9563,42.9566,45.97,76,100,4.61,GE,1638146053
